Name,Status,Priority,Contact Info,Source,Aletheia Reasoning
Unknown,New,BRONZE, | ,Google Sniper,STAT Specimen Target
Unknown,Warming,BRONZE, | ,Google Sniper,Pallet overflow lead
Unknown,New,BRONZE, | ,Google Sniper,Home equipment routes
Unknown,Active,BRONZE, | ,Google Sniper,3PL Partner potential
Unknown,Warming,BRONZE, | ,Google Sniper,Appliance installation
Unknown,New,BRONZE, | ,Google Sniper,Wholesale parts lane
Unknown,Watching,BRONZE, | ,Google Sniper,Volume master contract
Unknown,New,BRONZE, | ,Google Sniper,Regional supply chain
Unknown,New,BRONZE, | ,Google Sniper,General cross-docking
Unknown,STRATEGIC,BRONZE, | ,Google Sniper,
Unknown,STRATEGIC,BRONZE, | ,Google Sniper,
Unknown,STRATEGIC,BRONZE, | ,Google Sniper,
Unknown,STRATEGIC,BRONZE, | ,Google Sniper,
Unknown,STRATEGIC,BRONZE, | ,Google Sniper,
Unknown,STRATEGIC,BRONZE, | ,Google Sniper,
Unknown,STRATEGIC,BRONZE, | ,Google Sniper,
Unknown,STRATEGIC,BRONZE, | ,Google Sniper,
Unknown,STRATEGIC,BRONZE, | ,Google Sniper,
Unknown,STRATEGIC,BRONZE, | ,Google Sniper,
Unknown,CONTACT_FOUND,BRONZE, | ,Google Sniper,
Unknown,CONTACT_FOUND,BRONZE, | ,Google Sniper,
Unknown,CONTACT_FOUND,BRONZE, | ,Google Sniper,
